ProductCode,ProductName,ProductType,Unit,Status,RevenueAccountId,InventoryAccountId,TaxId,DefaultUnitPrice,DefaultTaxRate,Description
SP001,Phân hệ Quản lý Tài chính Kế toán,2,Gói,2,8,,4,,10,"Giải pháp quản lý kế toán tổng hợp, công nợ và thuế."
SP002,Phân hệ Quản lý Bán hàng,2,Gói,2,8,,4,,10,"Quản lý quy trình kinh doanh, đơn hàng và doanh thu."
SP003,Phân hệ Quản lý Mua hàng,2,Gói,2,8,,4,,10,"Theo dõi đơn mua hàng, NCC và quy trình nhập kho."
SP004,Phân hệ Quản lý Nhân sự - Tiền lương,2,Gói,2,8,,4,,10,"Quản lý hồ sơ, chấm công, tính lương và bảo hiểm."
SP005,Phân hệ Quản lý Sản xuất,2,Gói,2,8,,4,,10,"Hoạch định nhu cầu nguyên vật liệu (MRP) và lệnh sản xuất."
SP006,Phân hệ Quản lý Quan hệ Khách hàng (CRM),2,Gói,2,8,,4,,10,"Quản lý data khách hàng và lịch sử tương tác."
SP007,Phân hệ Quản lý Kho - Vật tư,2,Gói,2,8,,4,,10,"Quản lý nhập - xuất - tồn và kiểm kê kho định kỳ."
SP008,Phân hệ Quản lý Tài sản cố định,2,Gói,2,8,,4,,10,"Theo dõi khấu hao, bảo trì và điều chuyển tài sản."
SP009,BRAVO Mobile App (iOS/Android),1,Bản quyền,2,8,,4,,10,"Ứng dụng xem báo cáo và phê duyệt trên thiết bị di động."
SP010,Dịch vụ Khảo sát và Phân tích quy trình,2,Giờ,2,8,,4,,10,"Khảo sát bài toán thực tế tại doanh nghiệp."
SP011,Dịch vụ Tư vấn giải pháp ERP,2,Buổi,2,8,,4,,10,"Tư vấn xây dựng hệ thống quản trị doanh nghiệp."
SP012,Dịch vụ Đào tạo sử dụng phần mềm,2,Ngày,2,8,,4,,10,"Hướng dẫn người dùng cuối vận hành hệ thống."
SP013,Dịch vụ Cài đặt và Thiết lập hệ thống,2,Lần,2,8,,4,,10,"Triển khai server và cài đặt phần mềm."
SP014,Gói Bảo trì phần mềm hàng năm,2,Năm,2,8,,4,,10,"Hỗ trợ kỹ thuật và cập nhật phiên bản mới định kỳ."
SP015,Dịch vụ Chỉnh sửa theo yêu cầu (Customization),2,Man-day,2,8,,4,,10,"Lập trình các tính năng đặc thù theo yêu cầu khách hàng."
SP016,Dịch vụ Chuyển đổi dữ liệu (Data Migration),2,Lần,2,8,,4,,10,"Đưa dữ liệu từ hệ thống cũ vào phần mềm BRAVO."
SP017,Bản quyền người dùng bổ sung (Extra User),1,User,2,8,,4,,10,"Thêm tài khoản đăng nhập cho nhân viên mới."
SP018,Dịch vụ Nâng cấp phiên bản phần mềm,2,Lần,2,8,,4,,10,"Nâng cấp lên phiên bản BRAVO 8R3 hoặc mới hơn."
